sha256,file_identifier,aesthetic_score
00011ac96914fbc6e1dd4c90d5ffe366a6f4347fc8eb78d41e7d58abff6eb82f,3D-FUTURE-model/127406da-6400-4858-ba37-bb0ce96f773b,6.221416473388672
0007514a702db41be61863d65807c442e8aa2845f4adabcb3b8ba141477d999d,3D-FUTURE-model/395f189e-8115-492b-b942-48e81c38487d,4.939794063568115
00195583df607c58a751508dff077e06e26035a345171ddfa97abc136c248196,3D-FUTURE-model/7d52da01-185e-471c-9f48-996e2835e3ef,5.877184867858887
001ae71da2a480008915f7228c2379052911f2b434c298d4d3606e4188b08fa3,3D-FUTURE-model/a90651b2-33ef-4b7f-91ba-39821ddcba18,5.151617050170898
00239810a87ef48abadfda0c31977196bb38eeaa200f5db6082a75c096378c0c,3D-FUTURE-model/41da43a9-5bbc-4517-ab9e-49b02e8caf12,6.006515502929688
0023cfd7281dfd3f28e8bf9a9a95adaa53e2d1c93af1076f116a0ccd9fc5e8e5,3D-FUTURE-model/a8cd2277-de84-417f-a03e-bd017ad4e7e4,4.976276397705078
00242c24ab84e74d9a70ab719cf12b77a9b97799f90bfd09417f2c915d0963c4,3D-FUTURE-model/e90d0cd7-80d8-4849-8869-6c4517edf193,5.342265605926514
002cd28bee2118f26a737908ddaf1987cd0f6c8ce96e15524dd515eda496a29d,3D-FUTURE-model/511658a2-d60b-4d71-8f5c-40f1f4306474,5.016264915466309
003036140a1e35503a25458d8dbec68eb0d5352c40f3aa52cea564e164f0b7a6,3D-FUTURE-model/691efad4-f4ff-4dac-90a2-c8b5635da579,5.406670570373535
003b5f622ff277d7524a327cfd7d8951866be4aa8411f14e860bd85b0881c348,3D-FUTURE-model/2be3d20a-f8b5-4d29-b821-8b00bd3e425c,5.036699295043945
003fc5d1e109dd6c33a9697aef4a07de08afbed36a5eb9da0dca5d0bfcf971b6,3D-FUTURE-model/4d5a0347-ad0b-4296-990d-06b4fa622ba2,5.091886043548584
004efa52c9e9163e8b975fd2974407b658fc2d05d5316056095ecf3b12947550,3D-FUTURE-model/41f95e55-3ce3-4ba9-9153-fa9a9f904229,5.696482181549072
0051db64c8ccaad3633e632d5135a6205813654e0b0f9909d56be0786d3f2438,3D-FUTURE-model/7889f774-9639-4ed3-a7dc-b5e7ac7734a6,5.936594009399414
005928b5c440217e54a1032d5406e7ea3533208cad1e4d7b763198529084d6ac,3D-FUTURE-model/2fb6e466-5020-36b4-825a-7c11d1a2ff90,4.92690372467041
005d01acd73899f3a4abc1cda33ce630c5d4e20773cda53b9eeb3225b12e1d8a,3D-FUTURE-model/4c7a2f22-3e0c-46d4-85b2-904d642dbb3c,4.629497528076172
0062281ef5f96d5130a097a3af1ab2b4f42f90e6c4ca97b8f6cf6a54f96bed4d,3D-FUTURE-model/bedc24b3-00e4-44dc-b102-d642b4677895,5.080726623535156
0066e665887b3910043c4f1c7ff5fcc8daebce3b7e7d0e8883cabf284bce3dce,3D-FUTURE-model/f3fcb83e-c887-4638-954a-48f8761fef9a,4.619352340698242
0072c6c7460293cb5c0a14d6932f9fe8eb714d285f67d902179687df2710397f,3D-FUTURE-model/72a8fbb3-35f9-42f6-b46a-41677383bd8e,4.858160495758057
0079b383fd378d8391ef2e17dbe333ae059edfddaf75125a786c8387454229ae,3D-FUTURE-model/96f6fd0f-b810-4479-b253-dfcbcb52b641,5.184189319610596
0093ec0a03c37d4db280862a4b9d64a861bfb075bc7fe7f66c32b24f01a4f686,3D-FUTURE-model/a9bd67e4-1b36-4a61-9e47-8ec18b57ecf7,5.246889114379883
