sha256,file_identifier,aesthetic_score
0006d4c69de70f84754df85c2ec0a34514223f941500f080c84c19da7e137998,3/B07YBH2SR3.glb,5.136597633361816
00128c5f4884f93566f9250fbe2ba439351190d2aa417e64e52b0ae0f2565222,6/B07HSB4WV6.glb,4.7749128341674805
002d966114300bd368dcccd10046f5cee660120548dd7ae63710e4a3ff967043,Z/B07K6N3XKZ.glb,4.525978088378906
0037f821028abeef50670d1f7cb60629a10d72f8e4195db7e483d6ab26f685fd,F/B0853JVBVF.glb,5.060037612915039
003b5915cd013fae1e58145efa30174315092bb12baaf717ab8cb207195f2217,3/B07QJXMX23.glb,5.300153732299805
0063a3bf2f2f0a4f8bf91e9ea759a4be7ca39b22f775b75bfc9d126a81dfe304,8/B07Y3QSCQ8.glb,5.141406059265137
00779dbb16996270a23bc1be2c6ff67717d55c88729dc9a6f677be0cc9193d32,G/B075X4PT3G.glb,5.217343330383301
008c3304bc5f737f4ef4d334e322938d1912be3565bdae833a0fc72b84c301f9,Q/B07B4Z3B7Q.glb,4.800455570220947
009728c65630beae7a466c4a54df602241be38781b8f03b3a0bb545a849df907,R/B082QC7YKR.glb,5.750837326049805
009972b67c6e734315da408a2650c4e33c9dbf5806ae0ce202fa98ac84596864,J/B07DBDN78J.glb,4.7276458740234375
00a9e6b408116c317aecdba787ccfa7843602e0c3897fac625b339802adfbe73,J/B07QGSZ4YJ.glb,4.979038238525391
00c3b7890cd580a3b8f9e7c25d9030c78d8a7f7882a185d0bf65c1f4fc5af0d3,7/B0825DBMT7.glb,5.191526412963867
00d2b0c2b486238f1eae77b619f1b84c9013e979469132cc54be88582076f0ee,7/B07B4MN127.glb,5.071491718292236
00da2999f7b8168a3d9d2861f769ae6ee25c61e0be6f990184c9862d9b84e7b5,D/B07L3XD93D.glb,5.180450439453125
00e7a1a17e953bc15ef6491f141c78c71528f53119c7358144c1a7147b09be99,Z/B07MM487QZ.glb,5.427909851074219
01062f955218386b61d52aa43a6e9689aa3941c0b666dd2e1561336d55ce098c,N/B071J7Q9WN.glb,5.624732971191406
01175e9049af8d7690beebc0ea6eddfa76a1ba1a9945500e9805e9271b2e901b,M/B075HWDTMM.glb,4.969211578369141
011fd421d662c0d0d91d546d87d66b4db4ded779eb045ac366d8f5f275a11fd7,R/B07B4MS6TR.glb,5.086805820465088
01214d0b04dce7207ec27f17703e42c1675195c084cacb8b550679ee75291827,V/B07B8W8FBV.glb,4.976548194885254
01215bd12a47c270fca1bf078b059094769c603358140166fb428c86872630c5,P/B07P9Y4QGP.glb,4.755215644836426
012c1d111f3943dab018fb260a6a6bf9bfbe68deede042f74da9835c649529ee,V/B07YBDP5HV.glb,4.64018440246582
0131fe71c14f647569e9396ff3aa1253af081e45cd0a825397e6d0e6610b6ee4,4/B0728NW8C4.glb,4.8781328201293945
0136442e90465dc73e8eb70c8c15910e385162d31762adcf9796395104b7a705,3/B075X4F593.glb,4.992347717285156
0155f9939ee70bd932ee94e66c78a4b24ec126b9a8cff2daec2cfb62f0aae0b4,X/B07G2H671X.glb,4.7004475593566895
015a320de904cf9b7e5435545a6a1f8854c283a79c76fce9260e92895c37469d,H/B07B4MTFRH.glb,4.850868701934815
017c01c6fb952cfc1a7d7f492c4300dc6fecc1ac4dd33f7b3b5387e2d36a73b0,C/B07JW75VPC.glb,4.667466163635254
01a1fa696022bbed787ec0b6f9de6b9de70d570fe0d5ef2c5ad9034844b1d10e,H/B07B4MF6YH.glb,5.034815788269043
01b95906bade1e32d91729786f4887b11730ce0802dff915810292f3517b45dd,6/B07DBDX446.glb,4.883208274841309
01d2af4d50cbb58cb7316a8833022a2f622bba1afbfa46b21105d87cf0b3c139,3/B075YNL7R3.glb,4.734903335571289
01d77f5879d6580a7bdf8fc2d7ea7c979a094edd203a6c58aa75cd827bba6f7c,6/B073G8Q656.glb,4.745325088500977
01d9494d0538727f6423c7ceb6f1f8e32185e99f0c3c5086a01114ee2ed7977f,1/B07QC84LP1.glb,5.230323314666748
0210710f52f93813e85872ddac76bb0a4449649ba69d51b8ebf8a461c422bcf4,O/B01D7PG5EO.glb,5.884100437164307
0233361a30bf6aae4bb4d7b3dc725df484c351712b08d9a58d817659a6765ec1,V/B07LC84ZYV.glb,5.871696949005127
024c87aa7634f6ac1de4bb1d8cf8985363ad8eccd6ab6d72c1ed75ea7637c8a5,3/B075YMN1T3.glb,5.302351474761963
025955d0ad2be961208119ab86b950f9b77d2966eaf38af7588c8f9c3d01129c,D/B07MNYG18D.glb,5.00937032699585
02702cd2ef50928fdf691d478e2f078df012c72245927cb989286aa261cd49f8,3/B07G33RYW3.glb,4.523938655853272
028b624ba86a86ffff06b60a661e0303fdd5b19cac870595bc3f3d2b952811e7,P/B07DBB7FVP.glb,6.227304935455322
029141ebf95abf2e0956a7b224bdf3b6d9760f4a244848ec88bbdc31ce61ec92,L/B07QPT7VPL.glb,5.13552188873291
02a09b73fd7e8dd9abeebd3117a0c460afc3cb2a1617d92d2d36eecb101b0b88,D/B07MFXPB1D.glb,5.785959720611572
02b232d5555af5cc14f82333ef99064d6017f4308ecbfbde5fe0c10f77a9757b,1/B07HSBHY71.glb,5.381392478942871
02b99aa7721814968f6b35464958654ad729daba0d6cbfeafb86ef871001a098,H/B0853L359H.glb,4.522034168243408
02c8f2346f51cdd6171ce9093e9003b269245f5acfc54a61a42e07299e0d031b,Y/B075HWDS7Y.glb,4.828770637512207
02eebeda7e2a1388fb840a88fbb986262d9adefc2e15cefd593ec8eca2aa2601,Y/B07MHMTFRY.glb,4.788617134094238
031ece9a680ce593fe88b62f235dd9ecf2936279953756d7dc47c399ed3dca17,S/B07QD6TXWS.glb,4.931917667388916
